"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","percent_employed_agriculture_forestry_fishing_hunting_mining","percent_employed_arts_entertainment_recreation_accommodation_food","percent_employed_construction","percent_employed_education_health_social","percent_employed_finance_insurance_real_estate","percent_employed_information","percent_employed_manufacturing","percent_employed_other_services_not_public_admin","percent_employed_public_administration","percent_employed_retail_trade","percent_employed_science_management_admin_waste","percent_employed_transportation_warehousing_utilities","percent_employed_wholesale_trade","percent_unemployed"
"58","Dawson County",120.274914089347,4.50553646429935,0.0374603174603175,0.0686521573119511,0.0263459335624284,0.0255822833142421,0.0753722794959908,0.0129820542191676,0.00290187094310806,0.024971363115693,0.0224513172966781,0.028102329133257,0.0398625429553265,0.018098510882016,0.0256586483390607,0.00840015273004964,0.0271095838106147
"59","Deaf Smith County",127.619148150103,3.16672824193804,0.0248138957816377,0.0643373621153745,0.026864411252441,0.0254393835435689,0.0771098326911912,0.0111363276508154,0.00749459017258669,0.0862933445928115,0.0324061856758326,0.0216920884572756,0.0463925687443923,0.0195809362959835,0.0315617248113158,0.00459175595081015,0.0238560194225999
"60","Delta County",41.1832946635731,0.966744006187162,0.0234741784037559,0.0210750193348801,0.0183681361175561,0.0348027842227378,0.103054911059551,0.0197215777262181,0.00483372003093581,0.0531709203402939,0.015661252900232,0.0212683681361176,0.0531709203402939,0.0125676720804331,0.0131477184841454,0.0119876256767208,0.0261020881670534
"61","Denton County",59.2227778339504,0.561868937350974,0.00948737897648686,0.00591562238823736,0.0486790960437515,0.0295486746164509,0.109805060916064,0.0569420251087581,0.0167997532384257,0.0422156834386891,0.0254018514797375,0.014209268661664,0.0646213272137828,0.0748079214560981,0.0280448112875502,0.0195220658346569,0.0252636240418471
"62","DeWitt County",75.8523004786559,2.44212171534629,0.0321957501609788,0.0695516264530624,0.0292077757155417,0.0280355572921754,0.0812738106867246,0.0140177786460877,0.002637491452574,0.0446419849565302,0.0194881312884634,0.0277425026863339,0.0332128553287096,0.0188531796424734,0.0104522809416821,0.00991501416430595,0.0269121813031161
"63","Dickens County",61.1510791366906,3.14748201438849,0.0514705882352941,0.0625,0.0431654676258993,0.0116906474820144,0.0804856115107914,0.00674460431654676,0.0116906474820144,0.0148381294964029,0.0202338129496403,0.0134892086330935,0.0238309352517986,0.0134892086330935,0.0260791366906475,0.00764388489208633,0.0593525179856115
"64","Dimmit County",83.5335427832194,1.20125669931621,0.0143805309734513,0.0592311957124376,0.057660321567178,0.0148771021992238,0.0742931066346331,0.0121049713546479,0,0.0101644797634448,0.0169099981519128,0.0203289595268897,0.0567362779523194,0.0060986878580669,0.0148771021992238,0.00831639253372759,0.0620033265570135
"65","Donley County",84.1829303815904,2.33032333236237,0.027681660899654,0.0515584037285173,0.0393242062336149,0.038450334983979,0.0853480920477716,0.020681619574716,0.00262161374890766,0.0329158170696184,0.0221380716574425,0.0323332362365278,0.036411302068162,0.0244683949898048,0.0233032333236237,0.00436935624817943,0.0200990387416254
"66","Duval County",92.5310477523176,2.79867063145006,0.0302457466918715,0.0774007346510408,0.0213398635648067,0.0205527374497114,0.0939303830680427,0.0134686024138534,0.00209900297358755,0.0184537344761238,0.00585971663459857,0.030610460031485,0.032971838376771,0.0141682700717159,0.012244184012594,0.00236137834528599,0.0543991603988106
"67","Eastland County",53.1786847576321,1.25834336360652,0.0236625514403292,0.0247291826239195,0.0215012583433636,0.0310208994419521,0.106630922420396,0.0221030747346537,0.00875369296421928,0.0368202210307473,0.0144983039719882,0.0143341722289091,0.0634642739905898,0.0115986431775905,0.0182186234817814,0.00437684648210964,0.0229237334500492
